rxcui,ingredient_rxcui,ndc11,name,tty,ingredient_name
997223,135447,29300024913,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,29300024919,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722014010,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722073801,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722073805,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722073830,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722073831,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,31722073890,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002807,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002810,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002812,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002815,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002831,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,33342002844,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42543070301,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42543070305,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42543070310,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42543070330,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42543070390,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42582031209,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,42582031230,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43063050090,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43063065990,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547027603,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547027609,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547027611,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547087903,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547087909,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,43547087911,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,45963056108,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,46708029610,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,46708029630,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,46708029690,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,46708029691,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,50090262700,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,50228014010,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,50228014030,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,52343009030,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,52343009090,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,52343009099,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035705,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035710,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035730,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035778,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035779,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55111035790,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,55154788200,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,59746033001,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,59746033030,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,59746033090,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60429032210,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60429032230,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60429032290,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60687018201,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60687018211,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60687030301,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,60687030311,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62332009310,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62332009330,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62332009390,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62332009391,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62756044518,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62756044581,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,62756044583,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,63187040130,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,64380090804,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,64380090805,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,64380090807,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032601,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032605,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032614,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032630,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032690,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,65862032699,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,68071152303,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69150041603,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69150041609,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69150041610,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69452010913,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69452010919,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,69452010930,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
